Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2023-02-02	2021-04	Napster	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844	194997605444	1	100	Song	MX	0	0.00439996
2023-02-08	2022-07	Anghami	Lamanna	Eat Your Vegetables (Healthy Mode)	QZNWZ2112211	196512496285	1	100	Song	US	0	0.00038299
2023-02-08	2022-11	Deezer	Lamanna	Singapore	QZK6L2162403	196400294481	5	100	Song	FR	0	0.04839798
2023-02-08	2022-11	Deezer	Lamanna	Lose Control (Villain Remix)	QZMER2160751	196400294481	2	100	Song	FR	0	0.00767507
2023-02-08	2022-11	Deezer	Lamanna	Singapore	QZK6L2162403	196321515399	2	100	Song	DE	0	0.01955982
2020-01-23	2019-12	Apple Music	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00280700
2020-01-23	2019-12	Apple Music	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00499800
2020-01-23	2019-12	Apple Music	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00952100
2020-01-23	2019-12	Apple Music	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	AE	0	0.00779593
2020-01-23	2019-12	Apple Music	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		2	100	Song	US	0	0.01904200
2020-02-21	2019-12	Spotify	Lamanna	Agony	QZK6N1932121		13	100	Song	US	0	0.03717500
2020-02-21	2019-12	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00281700
2020-02-21	2019-12	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00541400
2020-02-21	2019-12	Spotify	Lamanna	Agony	QZK6N1932121		2	100	Song	US	0	0.00595700
2020-02-18	2019-12	YouTube (Red)	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	BR	0	0.00297076
2020-02-18	2019-12	YouTube (Red)	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		2	100	Song	BR	0	0.00594253
2020-02-21	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		2	100	Song	US	0	0.00595700
2020-02-21	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00211300
2020-02-21	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		25	100	Song	US	0	0.07148999
2020-02-21	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		6	100	Song	US	0	0.03248300
2020-02-22	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		2	100	Song	NO	0	0.01283089
2020-02-22	2019-12	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	CA	0	0.00168890
2020-02-18	2019-12	YouTube (Ads)	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	DE	0	0.02129548
2020-02-18	2019-12	YouTube (Ads)	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	GB	0	0.00278861
2020-02-21	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	GB	0	0.00386179
2020-02-21	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		53	100	Song	US	0	0.15155799
2020-02-21	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	US	0	0.00211300
2020-02-21	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		12	100	Song	US	0	0.06496600
2020-02-21	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	US	0	0.00297900
2020-02-22	2019-12	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		3	100	Song	NO	0	0.01924740
2020-02-28	2020-01	YouTube (Ads)	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00357745
2020-02-28	2020-01	YouTube (Red)	Lamanna	Agony	QZK6N1932121		5	100	Song	US	0	0.07342295
2020-02-28	2020-01	YouTube (Red)	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.01468641
2020-02-28	2020-01	Google Play All Access	Lamanna	Agony	QZK6N1932121		2	100	Song	BR	0	0.00664740
2020-02-28	2020-01	YouTube (Red)	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		3	100	Song	US	0	0.04405417
2020-02-27	2020-01	Apple Music	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		2	100	Song	AE	0	0.01617141
2020-02-28	2020-01	YouTube (Red)	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		3	100	Song	US	0	0.04405215
2020-03-28	2020-01	Spotify	Lamanna	Agony	QZK6N1932121		35	100	Song	US	0	0.07428500
2020-03-28	2020-01	Spotify	Lamanna	Agony	QZK6N1932121		37	100	Song	US	0	0.10569199
2020-03-28	2020-01	Spotify	Lamanna	Agony	QZK6N1932121		3	100	Song	US	0	0.01596500
2020-03-28	2020-01	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00178200
2020-03-28	2020-01	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	CA	0	0.00396612
2020-03-28	2020-01	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		10	100	Song	US	0	0.02122400
2020-03-28	2020-01	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		17	100	Song	US	0	0.04856100
2020-03-28	2020-01	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		4	100	Song	US	0	0.02128700
2020-03-28	2020-01	Spotify	Lamanna	Reasons	QZFYZ2046816		34	100	Song	US	0	0.09712199
2020-03-28	2020-01	Spotify	Lamanna	Reasons	QZFYZ2046816		1	100	Song	US	0	0.00532200
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		13	100	Song	US	0	0.03713500
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	US	0	0.00178200
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		10	100	Song	US	0	0.02122400
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		10	100	Song	US	0	0.05321800
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	US	0	0.00082300
2020-03-28	2020-01	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	AU	0	0.00160984
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		27	100	Song	US	0	0.05487300
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		26	100	Song	US	0	0.07419199
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		7	100	Song	US	0	0.03733600
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00108300
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	US	0	0.00219900
2020-04-24	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		2	100	Song	US	0	0.00345300
2020-04-25	2020-02	Spotify	Lamanna	Agony	QZK6N1932121		1	100	Song	AU	0	0.00231511
2020-04-24	2020-02	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		15	100	Song	US	0	0.04280300
2020-04-24	2020-02	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		4	100	Song	US	0	0.02133500
2020-04-24	2020-02	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		4	100	Song	US	0	0.00690600
2020-04-24	2020-02	Spotify	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		2	100	Song	US	0	0.00439700
2020-04-24	2020-02	Spotify	Lamanna	Reasons	QZFYZ2046816		2	100	Song	US	0	0.00439700
2020-04-24	2020-02	Spotify	Lamanna	Reasons	QZFYZ2046816		20	100	Song	US	0	0.05707100
2020-04-24	2020-02	Spotify	Lamanna	Reasons	QZFYZ2046816		3	100	Song	US	0	0.00517900
2020-04-24	2020-02	Spotify	Lamanna	Reasons	QZFYZ2046816		2	100	Song	US	0	0.01066800
2020-04-25	2020-02	Spotify	Lamanna	Reasons	QZFYZ2046816		1	100	Song	AU	0	0.00231511
2020-04-24	2020-02	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		12	100	Song	US	0	0.03424300
2020-04-24	2020-02	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		4	100	Song	US	0	0.00690600
2020-04-24	2020-02	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		18	100	Song	US	0	0.09600799
2020-04-24	2020-02	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		2	100	Song	US	0	0.00439700
2020-04-25	2020-02	Spotify	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		1	100	Song	AU	0	0.00231511
2020-04-23	2020-03	Apple Music	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		1	100	Song	US	0	0.00966785
2020-04-23	2020-03	Apple Music	Lamanna	Agony	QZK6N1932121		2	100	Song	US	0	0.01933570
2020-04-23	2020-03	Apple Music	Lamanna	Emerald	QZFZ52068438		2	100	Song	US	0	0.01933570
2020-04-23	2020-03	Apple Music	Lamanna	Never Sober (feat. Lukexi)	QZFZ52089612		1	100	Song	US	0	0.00966785
2020-04-23	2020-03	Apple Music	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00966785
2020-04-23	2020-03	Apple Music	Lamanna	Don't Wanna Love (feat. Valious)	QZK6P1948844		1	100	Song	US	0	0.00966785
2020-04-22	2020-03	Apple Music	Lamanna	Past Three	QZFZ52068453		1	100	Song	AU	0	0.00509838
2020-04-23	2020-03	Apple Music	Lamanna	Past Three	QZFZ52068453		2	100	Song	US	0	0.01933570
2020-04-23	2020-03	Apple Music	Lamanna	Reasons	QZFYZ2046816		2	100	Song	US	0	0.01933570
2020-04-23	2020-03	Apple Music	Lamanna	Missed Calls (feat. Lukexi)	QZK6Q1997340		2	100	Song	US	0	0.01933570
2020-05-27	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		1	100	Song	GB	0	0.00151188
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		1	100	Song	DE	0	0.00236617
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		3	100	Song	US	0	0.00595800
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		3	100	Song	US	0	0.00996500
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		53	100	Song	US	0	0.16017601
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		2	100	Song	US	0	0.00348600
2020-05-28	2020-03	Spotify	Lamanna	Rockstar (feat. Lukexi)	QZFZ52089611		35	100	Song	US	0	0.19907001
